hp;attack;defense;spatk;spdef;speed;count_form
45;49;49;65;65;45;1
60;62;63;80;80;60;1
80;82;83;100;100;80;2
80;100;123;122;120;80;2
39;52;43;60;50;65;1
58;64;58;80;65;80;1
78;84;78;109;85;100;3
78;130;111;130;85;100;3
78;104;78;159;115;100;3
44;48;65;50;64;43;1
59;63;80;65;80;58;1
79;83;100;85;105;78;2
79;103;120;135;115;78;2
45;30;35;20;20;45;1
50;20;55;25;25;30;1
60;45;50;90;80;70;1
40;35;30;20;20;50;1
45;25;50;25;25;35;1
65;90;40;45;80;75;2
65;150;40;15;80;145;2
40;45;40;35;35;56;1
63;60;55;50;50;71;1
83;80;75;70;70;101;2
83;80;80;135;80;121;2
30;56;35;25;35;72;2
30;56;35;25;35;72;2
55;81;60;50;70;97;2
75;71;70;40;80;77;2
40;60;30;31;31;70;1
65;90;65;61;61;100;1
35;60;44;40;54;55;1
60;95;69;65;79;80;1
35;55;40;50;50;90;2
45;80;50;75;60;120;2
60;90;55;90;80;110;2
60;85;50;95;85;110;2
50;75;85;20;30;40;2
50;75;90;10;35;40;2
75;100;110;45;55;65;2
75;100;120;25;65;65;2
55;47;52;40;40;41;1
70;62;67;55;55;56;1
90;92;87;75;85;76;1
46;57;40;40;40;50;1
61;72;57;55;55;65;1
81;102;77;85;75;85;1
70;45;48;60;65;35;1
95;70;73;95;90;60;1
38;41;40;50;65;65;2
38;41;40;50;65;65;2
73;76;75;81;100;100;2
73;67;75;81;100;109;2
115;45;20;45;25;20;1
140;70;45;85;50;45;1
40;45;35;30;40;55;1
75;80;70;65;75;90;1
45;50;55;75;65;30;1
60;65;70;85;75;40;1
75;80;85;110;90;50;1
35;70;55;45;55;25;1
60;95;80;60;80;30;1
60;55;50;40;55;45;1
70;65;60;90;75;90;1
10;55;25;35;45;95;2
10;55;30;35;45;90;2
35;100;50;50;70;120;2
35;100;60;50;70;110;2
40;45;35;40;40;90;3
40;35;35;50;40;90;3
50;65;55;40;40;40;3
65;70;60;65;65;115;2
65;60;60;75;65;115;2
50;52;48;65;50;55;1
80;82;78;95;80;85;1
40;80;35;35;45;70;1
65;105;60;60;70;95;1
55;70;45;70;50;60;2
60;75;45;65;50;55;2
90;110;80;100;80;95;2
95;115;80;95;80;90;2
40;50;40;40;40;90;1
65;65;65;50;50;90;1
90;95;95;70;90;70;1
25;20;15;105;55;90;1
40;35;30;120;70;105;1
55;50;45;135;95;120;2
55;50;65;175;105;150;2
70;80;50;35;35;35;1
80;100;70;50;60;45;1
90;130;80;65;85;55;1
50;75;35;70;30;40;1
